trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Hello.started,text_2.started,Hello.stopped,guidelines.started,guideline.started,key_resp.started,guidelines.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,num_distr,mouse.started,polygon.started,target.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,Thank_you.started,text_3.started,Thank_you.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
61,0,61,0,109.33967769984156,,,,,,,,,,,,109.31756009999663,5,0.015097499825060368,109.33967769984156,109.33967769984156,110.9131506998092,[0.296875],[-0.4192708333333333],[1],[0],[0],[1.5951693002134562],['target'],,,,A2,001,2024-10-07_20h11.13.283,untitled,2024.1.5,None,2024-10-07 20h11.23.586085 +0530,
62,0,62,0,110.9387507000938,,,,,,,,,,,,110.91599150002003,5,0.015112699940800667,110.9387507000938,110.9387507000938,112.3120796000585,[-0.4778645833333333],[-0.17838541666666666],[1],[0],[0],[1.395659999921918],['target'],,,,A2,001,2024-10-07_20h11.13.283,untitled,2024.1.5,None,2024-10-07 20h11.23.586085 +0530,
63,0,63,0,112.33785670017824,,,,,,,,,,,,112.3149556000717,5,0.015872499905526638,112.33785670017824,112.33785670017824,113.8941305000335,[0.2942708333333333],[0.2109375],[1],[0],[0],[1.5787320998497307],['target'],,,,A2,001,2024-10-07_20h11.13.283,untitled,2024.1.5,None,2024-10-07 20h11.23.586085 +0530,
64,0,64,0,113.92043389985338,,,,,,,,,,,,113.89698249986395,5,0.015765300020575523,113.92043389985338,113.92043389985338,114.97614450007677,[0.20963541666666666],[0.07552083333333333],[1],[0],[0],[1.0787247000262141],['target'],,,,A2,001,2024-10-07_20h11.13.283,untitled,2024.1.5,None,2024-10-07 20h11.23.586085 +0530,
65,0,65,0,115.00118830008432,,,,,,,,,,,,114.97898360015824,5,0.015106200240552425,115.00118830008432,115.00118830008432,116.84028640016913,[-0.01171875],[-0.3528645833333333],[1],[0],[0],[1.8609011000953615],['target'],,,,A2,001,2024-10-07_20h11.13.283,untitled,2024.1.5,None,2024-10-07 20h11.23.586085 +0530,
66,0,66,0,116.86645800014958,,,,,,,,,,,,116.84313920000568,5,0.01570309977978468,116.86645800014958,116.86645800014958,121.86920659989119,[0.005208333333333333],[-0.4674479166666667],[1],[0],[0],[5.025638000108302],['target'],,,,A2,001,2024-10-07_20h11.13.283,untitled,2024.1.5,None,2024-10-07 20h11.23.586085 +0530,
67,0,67,0,121.89532089978456,,,,,,,,,,,,121.87206149986014,5,0.015680199954658747,121.89532089978456,121.89532089978456,123.46729669999331,[0.18359375],[0.4205729166666667],[1],[0],[0],[1.5948359998874366],['target'],,,,A2,001,2024-10-07_20h11.13.283,untitled,2024.1.5,None,2024-10-07 20h11.23.586085 +0530,
68,0,68,0,123.49352459982038,,,,,,,,,,,,123.4702142002061,5,0.015740899834781885,123.49352459982038,123.49352459982038,124.76660860003904,[-0.09244791666666667],[-0.2630208333333333],[1],[0],[0],[1.295957500115037],['target'],,,,A2,001,2024-10-07_20h11.13.283,untitled,2024.1.5,None,2024-10-07 20h11.23.586085 +0530,
69,0,69,0,124.8105633999221,,,,,,,,,,,,124.76983760017902,10,0.029401100240647793,124.8105633999221,124.8105633999221,126.14854060020298,[-0.2825520833333333],[-0.15494791666666666],[1],[0],[0],[1.3782426002435386],['target'],,,,A2,001,2024-10-07_20h11.13.283,untitled,2024.1.5,None,2024-10-07 20h11.23.586085 +0530,
70,0,70,0,126.1749141998589,,,,,,,,,,,,126.15146030019969,5,0.015730599872767925,126.1749141998589,126.1749141998589,127.39777009980753,[-0.4518229166666667],[-0.022135416666666668],[1],[0],[0],[1.2458575000055134],['target'],,,,A2,001,2024-10-07_20h11.13.283,untitled,2024.1.5,None,2024-10-07 20h11.23.586085 +0530,
71,0,71,0,127.44195279991254,,,,,,,,,,,,127.40065070008859,10,0.0297435000538826,127.44195279991254,127.44195279991254,129.26196540007368,[-0.3138020833333333],[-0.2903645833333333],[1],[0],[0],[1.8608961999416351],['target'],,,,A2,001,2024-10-07_20h11.13.283,untitled,2024.1.5,None,2024-10-07 20h11.23.586085 +0530,
